price,brand,model,year,condition,transmission,body_type,fuel_type,engine_capacity,mileage,car_age
13550000.0,Toyota,Raize,2024,Reconditioned,Automatic,Station wagon,Petrol,1200,3000,2
29600000.0,Ford,Raptor Ranger,2024,Brand New,Tiptronic,SUV / 4x4,Diesel,3000,0,2
11550000.0,Toyota,Yaris,2022,Reconditioned,Automatic,Hatchback,Hybrid,1500,16000,4
10175000.0,Toyota,Yaris,2025,Reconditioned,Automatic,Hatchback,Petrol,1000,2000,1
18700000.0,Honda,Vezel,2024,Brand New,Automatic,SUV / 4x4,Hybrid,1500,0,2
10500000.0,Kia,Sorento,2011,Used,Automatic,SUV / 4x4,Diesel,2200,130000,15
6750000.0,Honda,Fit,2013,Used,Automatic,Hatchback,Hybrid,1300,64000,13
49500000.0,BMW,740Le,2017,Used,Automatic,Saloon,Petrol,1998,63000,9
20500000.0,Honda,Vezel,2025,Brand New,Automatic,SUV / 4x4,Hybrid,1500,0,1
13750000.0,Toyota,Land Cruiser Prado,2004,Reconditioned,Automatic,SUV / 4x4,Petrol,2700,172500,22
6500000.0,Nissan,Tiida,2008,Used,Automatic,Saloon,Petrol,1500,73500,18
49500000.0,Land Rover,Range Rover Sport,2019,Used,Automatic,SUV / 4x4,Petrol,2000,55000,7
30000000.0,Mercedes Benz,E300,2018,Used,Automatic,Coupe/Sports,Petrol,2000,30000,8
3255000.0,Nissan,March,2001,Used,Manual,Hatchback,Petrol,1000,225000,25
10000000.0,Toyota,Aqua,2019,Used,Automatic,Hatchback,Hybrid,1490,82000,7
5000000.0,Hyundai,Accent,2011,Used,Tiptronic,Saloon,Diesel,1600,190000,15
13500000.0,Audi,A3,2018,Used,Automatic,Saloon,Petrol,1200,160000,8
39900000.0,Toyota,Land Cruiser Prado,2017,Used,Automatic,SUV / 4x4,Petrol,2700,75000,9
5790000.0,Suzuki,Wagon R Stingray,2014,Used,Automatic,Hatchback,Petrol,650,131174,12
13975000.0,Nissan,X-Trail,2016,Used,Automatic,Unknown,Diesel,1997,135562,10
12690000.0,Kia,Other Model,2026,Brand New,Automatic,Station wagon,Petrol,1000,0,0
16500000.0,Jaguar,XJ,2003,Used,Automatic,Saloon,Petrol,3000,105000,23
25900000.0,Toyota,Hilux,2025,Import,Automatic,SUV / 4x4,Diesel,2800,0,1
4990000.0,Suzuki,SX4,2010,Used,Automatic,Hatchback,Petrol,1600,160000,16
37500000.0,Toyota,Land Cruiser Prado,2016,Used,Automatic,Unknown,Petrol,2755,190000,10
6650000.0,Suzuki,Wagon R FZ,2017,Used,Automatic,Hatchback,Hybrid,650,55000,9
6300000.0,Suzuki,Spacia,2016,Used,Automatic,Hatchback,Hybrid,650,72000,10
25900000.0,Toyota,Hilux,2025,Brand New,Automatic,SUV / 4x4,Diesel,2800,0,1
13000000.0,Kia,Other Model,2025,Brand New,Tiptronic,SUV / 4x4,Petrol,1000,0,1
8500000.0,Toyota,Vitz,2018,Used,Automatic,Hatchback,Petrol,990,47000,8
7150000.0,Suzuki,Wagon R FX,2024,Reconditioned,Automatic,Hatchback,Petrol,660,5000,2
14500000.0,Toyota,Premio,2016,Used,Automatic,Unknown,Petrol,1500,148000,10
12475000.0,Kia,Other Model,2025,Brand New,Automatic,SUV / 4x4,Petrol,1000,0,1
15000000.0,Audi,A6,2012,Used,Automatic,Saloon,Petrol,2000,105000,14
11500000.0,Toyota,Roomy,2025,Used,Automatic,MPV,Petrol,1000,0,1
8100000.0,Toyota,Axio,2013,Used,Automatic,Saloon,Hybrid,1490,104463,13
44700000.0,Mercedes Benz,GLB,2025,Brand New,Automatic,SUV / 4x4,Petrol,1340,0,1
25900000.0,Toyota,Hilux,2025,Import,Automatic,SUV / 4x4,Diesel,2800,0,1
5700000.0,Suzuki,Wagon R FX,2018,Used,Automatic,Unknown,Hybrid,660,93000,8
3950000.0,Nissan,Sunny,2002,Used,Automatic,Saloon,Petrol,1490,313000,24
7200000.0,Toyota,Prius,2007,Used,Automatic,Saloon,Petrol,1500,146000,19
8900000.0,Ford,Focus,2015,Used,Automatic,Saloon,Petrol,1600,103000,11
6675000.0,Daihatsu,Mira,2025,Reconditioned,Automatic,Hatchback,Petrol,650,1200,1
34000000.0,Toyota,Land Cruiser Prado,2016,Used,Automatic,SUV / 4x4,Petrol,2700,215000,10
9000000.0,Suzuki,Grand Vitara,2012,Used,Automatic,SUV / 4x4,Petrol,2000,130000,14
8300000.0,Toyota,Prius,2010,Used,Automatic,Saloon,Hybrid,1790,242000,16
26000000.0,BMW,X2,2019,Used,Tiptronic,SUV / 4x4,Petrol,1500,45000,7
